City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,intDate,ISOdate,ISOdateOnly
0,edinburgh of the seven seas,-37.0676,-12.3116,15.42,89,100,3.1,SH,1684211295,1684211295,2023-05-16 04:28:15,2023-05-16
1,ribeira grande,38.5167,-28.7,18.21,96,75,4.02,PT,1684211618,1684211618,2023-05-16 04:33:38,2023-05-16
2,thompson,55.7435,-97.8558,5.09,70,75,4.63,CA,1684211618,1684211618,2023-05-16 04:33:38,2023-05-16
3,invercargill,-46.4,168.35,13.61,66,14,4.23,NZ,1684211619,1684211619,2023-05-16 04:33:39,2023-05-16
4,yenangyaung,20.4667,94.8833,32.27,50,14,2.31,MM,1684211619,1684211619,2023-05-16 04:33:39,2023-05-16
5,tura,25.5198,90.2201,31.79,49,1,3.06,IN,1684211620,1684211620,2023-05-16 04:33:40,2023-05-16
6,puerto natales,-51.7236,-72.4875,5.28,97,100,0.74,CL,1684211621,1684211621,2023-05-16 04:33:41,2023-05-16
7,tazovsky,67.4667,78.7,-0.64,89,93,5.16,RU,1684211621,1684211621,2023-05-16 04:33:41,2023-05-16
8,wailua homesteads,22.0669,-159.378,25.24,66,100,7.2,US,1684211622,1684211622,2023-05-16 04:33:42,2023-05-16
9,udachny,66.4167,112.4,2.82,64,100,0.93,RU,1684211623,1684211623,2023-05-16 04:33:43,2023-05-16
10,tralee,52.2704,-9.7026,5.44,91,10,0.84,IE,1684211623,1684211623,2023-05-16 04:33:43,2023-05-16
11,port elizabeth,-33.918,25.5701,8.16,93,0,2.06,ZA,1684211624,1684211624,2023-05-16 04:33:44,2023-05-16
12,imbituba,-28.24,-48.6703,18.81,76,61,2.61,BR,1684211350,1684211350,2023-05-16 04:29:10,2023-05-16
13,hassi messaoud,31.6804,6.0729,14.92,29,0,1.54,DZ,1684211625,1684211625,2023-05-16 04:33:45,2023-05-16
14,tiksi,71.6872,128.8694,-0.64,97,53,3.93,RU,1684211626,1684211626,2023-05-16 04:33:46,2023-05-16
15,yellowknife,62.456,-114.3525,9.29,93,100,6.71,CA,1684211404,1684211404,2023-05-16 04:30:04,2023-05-16
16,lebu,-37.6167,-73.65,12.99,88,100,3.76,CL,1684211627,1684211627,2023-05-16 04:33:47,2023-05-16
17,otjimbingwe,-22.35,16.1333,17.41,55,50,4.31,,1684211628,1684211628,2023-05-16 04:33:48,2023-05-16
18,klyuchi,52.2667,79.1667,16.55,45,54,4.45,RU,1684211523,1684211523,2023-05-16 04:32:03,2023-05-16
19,kerikeri,-35.2268,173.9474,15.51,81,35,2.33,NZ,1684211629,1684211629,2023-05-16 04:33:49,2023-05-16
20,east london,-33.0153,27.9116,11.52,87,0,3.6,ZA,1684211630,1684211630,2023-05-16 04:33:50,2023-05-16
21,port-aux-francais,-49.35,70.2167,6.18,85,48,12.77,TF,1684211631,1684211631,2023-05-16 04:33:51,2023-05-16
22,tolanaro,-25.0319,46.9987,19.04,94,20,1.03,MG,1684211631,1684211631,2023-05-16 04:33:51,2023-05-16
23,college,64.8569,-147.8028,16.18,37,75,6.17,US,1684211632,1684211632,2023-05-16 04:33:52,2023-05-16
24,papatowai,-46.5619,169.4708,14.23,73,6,2.6,NZ,1684211632,1684211632,2023-05-16 04:33:52,2023-05-16
25,sisimiut,66.9395,-53.6735,-0.04,62,100,3.9,GL,1684211633,1684211633,2023-05-16 04:33:53,2023-05-16
26,isangel,-19.55,169.2667,25.39,69,100,6.12,VU,1684211634,1684211634,2023-05-16 04:33:54,2023-05-16
27,ad darb,17.7229,42.2526,34.03,42,5,3.23,SA,1684211635,1684211635,2023-05-16 04:33:55,2023-05-16
28,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,47,0,8.0,RU,1684211436,1684211436,2023-05-16 04:30:36,2023-05-16
29,hawaiian paradise park,19.5933,-154.9731,21.13,94,100,2.57,US,1684211636,1684211636,2023-05-16 04:33:56,2023-05-16
30,bethel,41.3712,-73.414,17.49,52,0,2.57,US,1684211359,1684211359,2023-05-16 04:29:19,2023-05-16
31,qaqortoq,60.7167,-46.0333,1.99,76,100,0.69,GL,1684211637,1684211637,2023-05-16 04:33:57,2023-05-16
32,malango,-2.9627,119.9001,25.18,85,88,1.16,ID,1684211638,1684211638,2023-05-16 04:33:58,2023-05-16
33,lubang,13.8584,120.124,29.57,73,33,4.03,PH,1684211638,1684211638,2023-05-16 04:33:58,2023-05-16
34,grytviken,-54.2811,-36.5092,0.04,78,24,2.12,GS,1684211295,1684211295,2023-05-16 04:28:15,2023-05-16
35,trujillo,-8.116,-79.03,23.98,83,20,3.6,PE,1684211640,1684211640,2023-05-16 04:34:00,2023-05-16
36,blackmans bay,-43.0167,147.3167,10.07,69,43,5.14,AU,1684211640,1684211640,2023-05-16 04:34:00,2023-05-16
37,port alfred,-33.5906,26.891,13.87,73,4,3.33,ZA,1684211641,1684211641,2023-05-16 04:34:01,2023-05-16
38,ancud,-41.8697,-73.8203,10.68,79,79,5.8,CL,1684211642,1684211642,2023-05-16 04:34:02,2023-05-16
39,iqaluit,63.7506,-68.5145,-3.15,63,75,2.06,CA,1684211643,1684211643,2023-05-16 04:34:03,2023-05-16
40,adamstown,-25.066,-130.1015,24.16,82,20,4.6,PN,1684211644,1684211644,2023-05-16 04:34:04,2023-05-16
